exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:52:51,1515.3318078999873,formal_punish_MS,punish_FA,3,31,15,0.75,1.2501240000128746,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:58,1522.4947728999832,formal_punish_MS,punish_FA,3,32,16,0.75,1.8608651999966241,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:06,1530.8434968999936,formal_punish_MS,punish_FA,3,33,17,0.75,1.7559138000069652,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:13,1538.024798599974,formal_punish_MS,punish_FA,3,34,16,0.75,1.6759472000121605,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:20,1545.0609324999969,formal_punish_MS,punish_FA,3,35,17,0.75,1.7214420000091195,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:28,1552.7713895999768,formal_punish_MS,punish_FA,3,36,18,0.75,2.4653212999983225,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:42,1566.311429399997,formal_punish_MS,punish_FA,3,37,18,0.75,7.999713500001235,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:49,1573.5085140999872,formal_punish_MS,punish_FA,3,38,19,0.75,2.3164190000097733,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:53:58,1582.326461699995,formal_punish_MS,punish_FA,3,39,19,0.75,1.888600200007204,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:05,1589.6759054999857,formal_punish_MS,punish_FA,3,40,20,0.75,2.0770279999997,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:12,1596.946204399981,formal_punish_MS,punish_FA,3,41,20,0.75,2.011817999999039,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:19,1603.44158709998,formal_punish_MS,punish_FA,3,42,21,0.75,1.265779500012286,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:26,1610.1334446999826,formal_punish_MS,punish_FA,3,43,21,0.75,1.4379669000045396,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:33,1617.752872299985,formal_punish_MS,punish_FA,3,44,22,0.75,2.4153065999853425,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:40,1624.9131835000007,formal_punish_MS,punish_FA,3,45,22,0.75,1.982169700000668,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:47,1631.8584474999807,formal_punish_MS,punish_FA,3,46,23,0.75,1.6403282000101171,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:54:54,1638.6364110999857,formal_punish_MS,punish_FA,3,47,23,0.75,1.463539899996249,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:55:03,1647.208291499992,formal_punish_MS,punish_FA,3,48,24,0.75,3.2732074999948964,0,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:55:14,1658.778368899977,formal_punish_MS,punish_FA,3,49,24,0.75,2.2312393999891356,1,1,4,null
